ID,Name,Type,Category,Latin,Date,Location,Orientation,Origin,Status,Photo,Sensor,Precio,ParentID
1,Monstera (ex jarro agua),Interior,Tropical,Monstera deliciosa,2021-01-20,Living,Suelo,Regalo,Viva,20260802_133055.jpg,FALSE,$0,2
2,Monstera grande,Interior,Tropical,Monstera deliciosa,2021-01-20,Dormitorio,Suelo,Regalo,Viva,,FALSE,$0,
3,Peperomia rana verde,Interior,Peperomias,Peperomia albovittata,2025-02-07,Living,-,Kenaz,Muerta,,,"$3,990",
4,Hipoeste,Interior,Tropical,Hypoestes phyllostachya,2025-02-07,Living,-,Kenaz,Muerta,,,"$4,990",
5,Monstera,Interior,Tropical,Monstera deliciosa,2025-02-07,Living,Suelo,Kenaz,Viva,20260802_152139.jpg,FALSE,"$12,990",
6,Mini monstera,Interior,Tropical,Rhaphidophora Tetrasperma,2025-02-07,Living,-,Kenaz,Muerta,,,"$16,990",
7,Helecho mini,Interior,Vasculares,Nephrolepis exaltata,2025-07-17,Living,Escalerita,Kenaz,Débil,20260516_180936.jpg,,"$4,031",
8,Lavanda,Exterior,Lamiácea,Lavandula dentata,2025-07-17,Balcón,Norte,Kenaz,Viva,,FALSE,"$5,646",
9,Tradescantia nanouk,Interior,Tradescantia,Tradescantia albiflora 'Nanouk',2025-07-17,Living,Carrito,Kenaz,Viva,,,"$8,069",
10,Ficus Gomero,Interior,Ficus,FIcus elastica,2026-02-10,Dormitorio,Este,Kenaz,Viva,,,"$14,990",
11,Ficus Gomero,Interior,Ficus,Ficus elastica,2026-02-10,Living,Norte,Kenaz,Viva,20260516_181005.jpg,,"$14,990",
12,Ruda,Exterior,Medicinal,Ruta graveolens,2026-02-16,Balcón,Norte,Kenaz,Débil,,,"$4,990",
13,Cardenal,Exterior,Geranios,Pelargonium hortorum,2026-02-16,Balcón,Norte,Kenaz,Viva,,,"$5,000",
14,Cactus gordito,Exterior,Cactus,,2026-02-22,Balcón,Este,Feria 3 Antonios,Viva,,,"$6,000",
15,Árbol de jade,Exterior,Suculenta,Crassula ovata,2026-03-03,Balcón,Norte,Kenaz,Viva,,,"$8,990",
16,Dólar black,Exterior,Lamiácea,Plectranthus verticillatus,2026-03-03,Living,Rack,Kenaz,Viva,,,"$10,990",
17,Cucharita,Interior,Peperomias,Peperomia polybotrya,2026-03-14,Dormitorio,Este,Feria Nuestra Señora del Carmen,Viva,20260802_152151.jpg,FALSE,"$5,000",
18,Buganvilia,Exterior,Enredadera,Bougainvillea spectabilis,2026-03-16,Dormitorio,Este,Feria Nuestra Señora del Carmen,Viva,20260316_131049.jpg,TRUE,"$15,000",
19,San Pedro,Exterior,Cactus,Echinopsis pachanoi,2026-03-28,Balcón,Este,Feria Nuestra Señora del Carmen,Viva,,,"$7,000",
20,Peperomia rana verde 2,Interior,Tropical,Peperomia albovittata,2026-04-08,Living,Carrito,Kenaz,Muerta,20260516_181034.jpg,FALSE,"$6,990",
21,Pothus,Interior,Enredadera,Epipremnum aureum,2026-04-08,Living,Librero,Kenaz,Viva,20260802_152212.jpg,FALSE,"$8,490",
22,Monstera albo,Interior,Tropical,Monstera deliciosa 'Albo Variegata',2026-04-08,Living,Carrito,Plantket,Viva,20260802_152200.jpg,FALSE,"$56,590",
23,Ctenanthe compressa,Interior,Cthenante,Ctenanthe compressa,2026-04-23,Living,Rack,Vivero Evergreen,Viva,20260516_180947.jpg,,"$3,000",
24,Calathea burle marxii,Interior,Cthenante,Cthenante burle-marxii,2026-04-23,Living,Norte,Vivero Evergreen,Viva,20260516_181054.jpg,,"$10,000",
25,Dólar variegado,Interior,Lamiácea,Plectranthus ciliatus,2026-05-15,Living Room,Norte,Jardín de Colomba,Débil,,FALSE,"$4,000",
26,Repollo ornamental,Interior,Ornamental,Brassica oleracea,2026-05-15,Living Room,Norte,Jardín de Colomba,Viva,,FALSE,"$4,000",
27,Cactus flaco,Exterior,Cactus,,,Balcón,Este,Regalo,Viva,,FALSE,$0,
28,Cedrón,Interior,Verbenas,Aloysia citrodora,,Living,Norte,Feria Nuestra Señora del Carmen,Viva,20260516_181044.jpg,,"$3,000",
29,Filodendro Florida,Interior,Tropical,Philodendron Florida,,Living,Carrito,Feria Nuestra Señora del Carmen,Viva,20260802_144527.jpg,FALSE,"$5,000",
30,Helecho grande,Interior,Vasculares,Nephrolepis exaltata,,Balcón,Este,Feria Nuestra Señora del Carmen,Viva,20260516_180940.jpg,TRUE,"$6,000",
31,Monstera adansonii,Interior,Tropical,Monstera adansonii,,Living,Carrito,Feria Nuestra Señora del Carmen,Viva,20260516_181025.jpg,,"$12,000",
